iso3,time_period,value,data_source
AFG,2022,48.21469648,WHO/UNICEF Joint Monitoring Programme (2024)
DZA,2022,84.8040972,WHO/UNICEF Joint Monitoring Programme (2024)
AGO,2020,27.09419392,WHO/UNICEF Joint Monitoring Programme (2024)
ARM,2022,94.42366242,WHO/UNICEF Joint Monitoring Programme (2024)
ABW,2022,99.3,WHO/UNICEF Joint Monitoring Programme (2024)
TCA,2022,94.97670485,WHO/UNICEF Joint Monitoring Programme (2024)
AZE,2017,89.30402118,WHO/UNICEF Joint Monitoring Programme (2024)
BHR,2022,100,WHO/UNICEF Joint Monitoring Programme (2024)
BGD,2022,65.73719949,WHO/UNICEF Joint Monitoring Programme (2024)
BRB,2016,88.46935061,WHO/UNICEF Joint Monitoring Programme (2024)
BLZ,2022,90.28829049,WHO/UNICEF Joint Monitoring Programme (2024)
BTN,2022,93.20417816,WHO/UNICEF Joint Monitoring Programme (2024)
BOL,2022,26.98736683,WHO/UNICEF Joint Monitoring Programme (2024)
BIH,2016,97.26105802,WHO/UNICEF Joint Monitoring Programme (2024)
GMB,2022,12.94233417,WHO/UNICEF Joint Monitoring Programme (2024)
GEO,2022,91.75734933,WHO/UNICEF Joint Monitoring Programme (2024)
GHA,2022,41.68938799,WHO/UNICEF Joint Monitoring Programme (2024)
BFA,2022,9.156370104,WHO/UNICEF Joint Monitoring Programme (2024)
BDI,2022,6.303589722,WHO/UNICEF Joint Monitoring Programme (2024)
KHM,2022,83.35053189,WHO/UNICEF Joint Monitoring Programme (2024)
CHN,2022,97.206797,WHO/UNICEF Joint Monitoring Programme (2024)
CRI,2022,85.95693422,WHO/UNICEF Joint Monitoring Programme (2024)
CIV,2022,21.81495912,WHO/UNICEF Joint Monitoring Programme (2024)
DOM,2022,48.32485428,WHO/UNICEF Joint Monitoring Programme (2024)
ECU,2022,87.2295529,WHO/UNICEF Joint Monitoring Programme (2024)
SLV,2018,90.69957921,WHO/UNICEF Joint Monitoring Programme (2024)
GNQ,2015,24.22103752,WHO/UNICEF Joint Monitoring Programme (2024)
ETH,2022,8.321746212,WHO/UNICEF Joint Monitoring Programme (2024)
GTM,2019,76.76641767,WHO/UNICEF Joint Monitoring Programme (2024)
GNB,2022,19.68909274,WHO/UNICEF Joint Monitoring Programme (2024)
GIN,2022,20.63609532,WHO/UNICEF Joint Monitoring Programme (2024)
GUY,2022,83.47257783,WHO/UNICEF Joint Monitoring Programme (2024)
HTI,2022,22.58268497,WHO/UNICEF Joint Monitoring Programme (2024)
HND,2022,84.96356058,WHO/UNICEF Joint Monitoring Programme (2024)
IRQ,2022,97.39160768,WHO/UNICEF Joint Monitoring Programme (2024)
JAM,2015,66.64750463,WHO/UNICEF Joint Monitoring Programme (2024)
KAZ,2019,99.00983067,WHO/UNICEF Joint Monitoring Programme (2024)
KEN,2022,37.59923839,WHO/UNICEF Joint Monitoring Programme (2024)
KIR,2022,55.68317547,WHO/UNICEF Joint Monitoring Programme (2024)
KGZ,2022,99.84673682,WHO/UNICEF Joint Monitoring Programme (2024)
LAO,2021,55.81001562,WHO/UNICEF Joint Monitoring Programme (2024)
LSO,2022,5.571910567,WHO/UNICEF Joint Monitoring Programme (2024)
LBR,2022,3.440188936,WHO/UNICEF Joint Monitoring Programme (2024)
MHL,2021,85.09115835,WHO/UNICEF Joint Monitoring Programme (2024)
MRT,2022,41.7524087,WHO/UNICEF Joint Monitoring Programme (2024)
PRY,2020,80.1530646,WHO/UNICEF Joint Monitoring Programme (2024)
MDG,2022,23.43563054,WHO/UNICEF Joint Monitoring Programme (2024)
MDV,2021,95.8390985,WHO/UNICEF Joint Monitoring Programme (2024)
MLI,2022,17.30086899,WHO/UNICEF Joint Monitoring Programme (2024)
MEX,2022,93.94082133,WHO/UNICEF Joint Monitoring Programme (2024)
MDA,2016,86.9794186,WHO/UNICEF Joint Monitoring Programme (2024)
MNG,2022,86.37693433,WHO/UNICEF Joint Monitoring Programme (2024)
MOZ,2015,12.22698369,WHO/UNICEF Joint Monitoring Programme (2024)
NAM,2017,44.59990331,WHO/UNICEF Joint Monitoring Programme (2024)
NPL,2022,63.5428419,WHO/UNICEF Joint Monitoring Programme (2024)
NER,2022,24.6168063,WHO/UNICEF Joint Monitoring Programme (2024)
OMN,2021,97.4,WHO/UNICEF Joint Monitoring Programme (2024)
PAK,2022,84.69131223,WHO/UNICEF Joint Monitoring Programme (2024)
LCA,2016,87.33164756,WHO/UNICEF Joint Monitoring Programme (2024)
WSM,2022,71.9643681,WHO/UNICEF Joint Monitoring Programme (2024)
TON,2022,69.54366217,WHO/UNICEF Joint Monitoring Programme (2024)
STP,2022,58.0579084,WHO/UNICEF Joint Monitoring Programme (2024)
SLE,2022,17.83658224,WHO/UNICEF Joint Monitoring Programme (2024)
SLB,2019,38.63639297,WHO/UNICEF Joint Monitoring Programme (2024)
SOM,2022,25.09764012,WHO/UNICEF Joint Monitoring Programme (2024)
ZAF,2020,44.36969325,WHO/UNICEF Joint Monitoring Programme (2024)
LKA,2022,85.34633237,WHO/UNICEF Joint Monitoring Programme (2024)
SUR,2022,72.11623285,WHO/UNICEF Joint Monitoring Programme (2024)
SWZ,2020,24.3110734,WHO/UNICEF Joint Monitoring Programme (2024)
SYR,2022,84.41615089,WHO/UNICEF Joint Monitoring Programme (2024)
TJK,2022,72.95356281,WHO/UNICEF Joint Monitoring Programme (2024)
THA,2022,85.01881918,WHO/UNICEF Joint Monitoring Programme (2024)
MKD,2022,99.67284695,WHO/UNICEF Joint Monitoring Programme (2024)
TLS,2020,28.40752954,WHO/UNICEF Joint Monitoring Programme (2024)
TGO,2022,17.33833398,WHO/UNICEF Joint Monitoring Programme (2024)
TTO,2015,90.06344255,WHO/UNICEF Joint Monitoring Programme (2024)
TKM,2022,100,WHO/UNICEF Joint Monitoring Programme (2024)
TUV,2022,93.9566685,WHO/UNICEF Joint Monitoring Programme (2024)
UZB,2022,81.62646596,WHO/UNICEF Joint Monitoring Programme (2024)
VNM,2022,88.71177477,WHO/UNICEF Joint Monitoring Programme (2024)
YEM,2017,48.61296826,WHO/UNICEF Joint Monitoring Programme (2024)
ZWE,2022,42.45609381,WHO/UNICEF Joint Monitoring Programme (2024)
IDN,2022,78.98522122,WHO/UNICEF Joint Monitoring Programme (2024)
MMR,2022,74.58558431,WHO/UNICEF Joint Monitoring Programme (2024)
PNG,2022,29.85549829,WHO/UNICEF Joint Monitoring Programme (2024)
PHL,2022,81.75091888,WHO/UNICEF Joint Monitoring Programme (2024)
FJI,2022,86.52844163,WHO/UNICEF Joint Monitoring Programme (2024)
VUT,2022,75.87976671,WHO/UNICEF Joint Monitoring Programme (2024)
SEN,2022,22.24600595,WHO/UNICEF Joint Monitoring Programme (2024)
CUB,2022,93.37921727,WHO/UNICEF Joint Monitoring Programme (2024)
SDN,2022,10.76258198,WHO/UNICEF Joint Monitoring Programme (2024)
EGY,2020,89.83093199,WHO/UNICEF Joint Monitoring Programme (2024)
SSD,2022,5.6,WHO/UNICEF Joint Monitoring Programme (2024)
PSE,2022,94.9177694,WHO/UNICEF Joint Monitoring Programme (2024)
MNE,2022,99.24174173,WHO/UNICEF Joint Monitoring Programme (2024)
SRB,2014,98.1301201,WHO/UNICEF Joint Monitoring Programme (2024)
TUN,2022,84.26921347,WHO/UNICEF Joint Monitoring Programme (2024)
COL,2022,70.1535998,WHO/UNICEF Joint Monitoring Programme (2024)
RWA,2022,18.40200785,WHO/UNICEF Joint Monitoring Programme (2024)
TZA,2022,28.9165331,WHO/UNICEF Joint Monitoring Programme (2024)
COD,2022,19.35247042,WHO/UNICEF Joint Monitoring Programme (2024)
UGA,2022,30.90419968,WHO/UNICEF Joint Monitoring Programme (2024)
MWI,2022,15.30758864,WHO/UNICEF Joint Monitoring Programme (2024)
ZMB,2022,18.15461533,WHO/UNICEF Joint Monitoring Programme (2024)
CMR,2022,36.7118343,WHO/UNICEF Joint Monitoring Programme (2024)
TCD,2022,26.2004732,WHO/UNICEF Joint Monitoring Programme (2024)
CAF,2022,22.17641403,WHO/UNICEF Joint Monitoring Programme (2024)
COG,2019,48.18577995,WHO/UNICEF Joint Monitoring Programme (2024)
NGA,2022,31.07882869,WHO/UNICEF Joint Monitoring Programme (2024)
BEN,2022,12.13046401,WHO/UNICEF Joint Monitoring Programme (2024)
COM,2016,15.5735333,WHO/UNICEF Joint Monitoring Programme (2024)
IND,2022,76.26479313,WHO/UNICEF Joint Monitoring Programme (2024)
